#Reference	total length	total invalid pos	total valid pos	total core	Percentage in core
ASM-68_1	746899	21765	725134	685606	94.55
ASM-68_10	97961	164	97797	93759	95.87
ASM-68_11	40968	2334	38634	0	0.00
ASM-68_12	9648	464	9184	0	0.00
ASM-68_15	2581	N/A	2581	0	0.00
ASM-68_2	515164	40794	474370	429025	90.44
ASM-68_3	362923	17512	345411	344398	99.71
ASM-68_4	300301	26536	273765	264435	96.59
ASM-68_5	253564	18444	235120	230571	98.07
ASM-68_6	226324	8820	217504	216064	99.34
ASM-68_7	176170	51944	124226	122406	98.53
ASM-68_8	144442	4931	139511	138566	99.32
ASM-68_9	124268	607	123661	122503	99.06
all	3001213	194315	2806898	2647333	94.32
