#Reference	total length	total invalid pos	total valid pos	total core	Percentage in core
ASM-68_1	746899	21765	725134	643311	88.72
ASM-68_10	97961	164	97797	90705	92.75
ASM-68_11	40968	2334	38634	0	0.00
ASM-68_12	9648	464	9184	0	0.00
ASM-68_15	2581	N/A	2581	0	0.00
ASM-68_2	515164	40794	474370	412086	86.87
ASM-68_3	362923	17512	345411	329897	95.51
ASM-68_4	300301	26536	273765	250408	91.47
ASM-68_5	253564	18444	235120	225000	95.70
ASM-68_6	226324	8820	217504	205957	94.69
ASM-68_7	176170	51944	124226	115596	93.05
ASM-68_8	144442	4931	139511	127843	91.64
ASM-68_9	124268	607	123661	108469	87.71
all	3001213	194315	2806898	2509272	89.40
