#Reference	total length	total invalid pos	total valid pos	total core	Percentage in core
ASM-68_1	746899	21765	725134	685548	94.54
ASM-68_10	97961	164	97797	93757	95.87
ASM-68_11	40968	2334	38634	0	0.00
ASM-68_12	9648	464	9184	0	0.00
ASM-68_15	2581	N/A	2581	0	0.00
ASM-68_2	515164	40794	474370	429022	90.44
ASM-68_3	362923	17512	345411	344173	99.64
ASM-68_4	300301	26536	273765	264432	96.59
ASM-68_5	253564	18444	235120	230559	98.06
ASM-68_6	226324	8820	217504	215495	99.08
ASM-68_7	176170	51944	124226	122405	98.53
ASM-68_8	144442	4931	139511	138566	99.32
ASM-68_9	124268	607	123661	122406	98.99
all	3001213	194315	2806898	2646363	94.28
